date,ticker,beta,market_cap,vol10,momentum
1/31/2014,X1255459D,-0.4985327674482392,0.2972311674599705,-0.5633014278798274,-0.3142442853147255
1/31/2014,X1288453D,-0.5423434341584353,0.2201384262723449,-0.23867465739673455,-0.2172299114678444
1/31/2014,X1455797D,0.5026771017197988,-0.21425274319127466,-0.18404404624754578,0.8423195961254919
1/31/2014,X1477069D,1.0501866766517398,-0.1637581043081696,0.11657252617214901,-0.2920442853994203
1/31/2014,X9876543D,0.3219890412766178,-0.2221606705990879,-0.2348063477087426,-0.1689116774035273
1/31/2014,X9876544D,0.36629474376884996,-0.12007192522668725,0.6957073961272627,-0.6455712394978498
1/31/2014,X9876566D,-0.5054632683967448,0.6404310159021624,-0.2829156704950331,0.038885657997248455
1/31/2014,X9999900D,-0.4859093550063184,-0.05700468945879157,-0.4151940764924582,-0.41894405411245755
1/31/2014,AA,0.25342658546461605,0.26136703519273097,0.24640544903348732,0.3689712729043349
1/31/2014,AAN,-0.2784893623331871,-0.18824582085943983,-0.40462662512257985,-0.24512513184784496
1/31/2014,AAWW,-0.08864313992233817,-0.23927377783485118,-0.08434243984478058,-0.6079576704679162
1/31/2014,ABAX,-0.049782831032503194,-0.24078456137573853,-0.13073251388085244,-0.5248601468725824
1/31/2014,ABBV,0.11729174540468516,3.0,-0.18727504820916357,0.2804975335196487
1/31/2014,ABC,-0.9631238488891313,0.4030933343439252,-0.25663784261453615,0.26397274124337666
1/31/2014,ABG,0.801678714069611,-0.2142911179778765,-0.11743797828648939,-0.24756972626183474
1/31/2014,ABMD,-0.20745172761100508,-0.23052470713111226,-0.15927797157844803,0.36638905205425476
1/31/2014,ABT,-0.16067084620859234,2.2020185696933043,-0.23410975554270572,-0.15313420646560538
1/31/2014,ACAD,2.7605353035865092,-0.18534633031349512,0.15165409334255855,0.2023852950025722
1/31/2014,ACAT,1.6828424060938916,-0.25306868014462536,0.5503419500742939,-0.3918123375001866
1/31/2014,ACGL,-1.0071820334903452,0.03642277776122716,-0.3237922916424727,-0.0679568888378427
1/31/2014,ACM,1.0046433847044174,-0.15382913689071512,-0.1569214151018552,-0.46380826865682445
1/31/2014,ACOR,-0.2987858293966677,-0.22497590812193474,0.0009085843901985928,-0.8098495127618837
1/31/2014,ACRX,0.7341063298216814,-0.2564729275461945,0.41592930424901103,-0.5319596171793605
1/31/2014,ACXM,-0.09755378399898777,-0.16156477371346464,0.6259740739739981,1.2905055778429537
1/31/2014,ADBE,-0.37972417975957234,1.0080666255209927,-0.20537162341620627,0.5148535081450708
1/31/2014,ADP,-0.1594332567535022,1.3354693318328046,-0.2860725669070724,0.044045896499305626
1/31/2014,ADTN,-0.02651614927680571,-0.21389237633763794,0.1609469292596885,-0.31151954471194787
1/31/2014,AEE,-0.5787285641380897,0.12372174649648011,-0.3252447604142091,-0.20041678627671472
1/31/2014,AEGR,-0.08715803257622945,-0.20122972055335897,-0.03561063044203172,-1.3199039090848659
1/31/2014,AEL,0.4843607777844625,-0.21166214539517333,-0.24518112464971709,0.6239847141722598
1/31/2014,AEO,0.6068821338384007,-0.16385291028820326,0.28537014700180446,-0.7991445052819668
1/31/2014,AF,0.17471589612087396,-0.22070725016698364,-0.18127249869331405,-0.04684000057132216
1/31/2014,AFL,-0.05597077830795447,1.0022533550603834,-0.3020645445060889,-0.08385838384756006
1/31/2014,AFOP,0.07397611447652512,-0.2653428278567722,0.27200150585786304,-0.5338426122304039
1/31/2014,AGNC,-0.6104108541884008,0.04847202323526196,-0.3929772327288571,-0.7268321678499476
1/31/2014,AGO,1.8410063384544297,-0.1095919595763886,-0.19164727563428857,-0.21589884117309746
1/31/2014,AHL,-0.638132857982423,-0.16628883638712655,-0.2846497403551673,0.06418226866442264
1/31/2014,AJRD,0.625445975664755,-0.23262772506534116,-0.2600763401149734,-0.05472390589536087
1/31/2014,AL,-0.09656371243491566,-0.13774274223589983,-0.20646838554996647,0.18772026906490571
1/31/2014,ALGN,1.3863159726542595,-0.06916970244547996,0.2971825716045997,0.6606432733619632
1/31/2014,ALJ,0.6781672864516007,-0.23079771895233617,-0.13305942813761382,0.5711001227923961
1/31/2014,ALK,-0.053495599397774186,-0.04015314854867012,-0.09450972124693562,0.4075397282486716
1/31/2014,ALKS,0.008878909138776305,0.028408135107717235,0.07645178163040883,0.255617682569549
1/31/2014,ALL,-0.20695669182896903,0.7409272929467808,-0.24630752900330868,-0.10883726915762246
1/31/2014,ALR,0.7841049438073288,-0.14220182156096514,-0.1560914329465773,0.061993573553452516
1/31/2014,ALSN,0.3024351278861913,-0.04788445830906079,-0.20744657880440118,0.41075685514835053
1/31/2014,ALTR,-0.017110469418119504,0.1867998152334359,-0.19596021861975083,-0.762945726334602
1/31/2014,ALV,0.7578680473594149,0.10242845201148645,-0.07999985463948697,-0.016825176999784613
1/31/2014,ALXN,0.4323820206706709,1.0837079326125212,1.0861695368557969,0.1390018526367409
1/31/2014,AMBA,0.33065216746224935,-0.23844091239735107,0.05700648542103948,1.8867148639574196
1/31/2014,AMBC,1.7687311142771576,-0.2318252628192783,-0.2888144722414728,-0.9126059210002747
1/31/2014,AMCC,-0.2512623943212009,-0.24519894814064674,0.22014244226290602,0.04581585308015921
1/31/2014,AMGN,-0.7386251217357541,3.0,-0.03981982565808422,-0.18617216754112556
1/31/2014,AMP,0.7244531320719771,0.6211799679700387,-0.1045287915499339,0.4861809749864804
1/31/2014,AMTD,0.4135706609532985,0.4748147123302218,-0.0004845999418750416,0.1011096008466076
