date,ticker,beta,market_cap,momentum,vol10
9/9/2016,AAL,0.015949544474902315,0.4607436572013593,-0.6069121532567349,-0.053784768520336375
9/9/2016,AAOI,0.035379943412173806,-0.23947176556215904,-0.9140106622662192,0.6102072918279279
9/9/2016,ABM,-0.03695520101861609,-0.17613063690988923,0.15574131977472885,-0.0012182769372824631
9/9/2016,ACAD,0.034870678923898536,-0.12218283112675622,1.6163546480021729,0.1356758955876683
9/9/2016,ACC,-0.06204627061402411,-0.0300236761090259,0.13721477815218694,-0.16230972336554383
9/9/2016,ACIW,-0.0017963642319202234,-0.17583725712057346,-0.24781340669097618,-0.2072941606070806
9/9/2016,ACM,0.011689351159522746,-0.09638558895216143,0.04051832351370822,-0.1895180523422798
9/9/2016,ACOR,-0.028248736978679415,-0.21296534769895617,-0.3175957283522774,-0.12454456274583427
9/9/2016,ADP,-0.016760905348931706,1.1272734476839297,-0.20524004858795009,-0.3300762798360977
9/9/2016,ADPT,-0.03909998799808304,-0.2238130765788975,-0.6629572907374943,1.465655293742491
9/9/2016,ADRO,0.017526305678985336,-0.21973002633191407,0.2527870431872085,0.4331536257333147
9/9/2016,ADXS,0.03167798232432671,-0.23693277794944032,-0.20000067838646338,0.22234349282156465
9/9/2016,AEE,-0.06192874803980673,0.15582605003756161,-0.05697003431546162,-0.2538022642713145
9/9/2016,AEL,0.03364648544246762,-0.19650980558624281,-0.3035783389735626,-0.27388201105614574
9/9/2016,AEO,-0.02858171760562863,-0.13567993853695284,-0.06265627881869135,-0.41951912662562096
9/9/2016,AEP,-0.0645730059596975,0.8422840732065422,-0.05894724921124748,-0.23706007250762973
9/9/2016,AERI,-0.027475046698415075,-0.23164624155619606,0.6251117887239646,0.2068710230767941
9/9/2016,AF,-0.03570162689363083,-0.19645679700209387,-0.30717915010113334,-0.30930725538385584
9/9/2016,AGIO,-0.005782338207459277,-0.19411001350296614,0.30880717970483257,1.8427264555880818
9/9/2016,AIRM,-0.01043427343689674,-0.2090605984185424,-0.4406189963897391,0.6566065621762548
9/9/2016,AKAM,-0.0024133577465614018,0.06897955173674118,-0.43035985550715683,-0.37482491155983605
9/9/2016,AKRX,-0.020208234192641172,-0.13124953650486074,1.4985690979789947,-0.2585002357412976
9/9/2016,AL,0.02816209864565712,-0.14800842762303165,-0.4784711617576139,-0.15276866933770172
9/9/2016,ALDR,-0.006144699477962832,-0.19934662004057585,1.2905869008834763,0.12082014796637054
9/9/2016,ALGN,0.0020133258822927977,0.005256193005354025,0.395440330089255,-0.1877223026298152
9/9/2016,ALKS,-0.020227821288344064,-0.011143848219174933,1.1528506146501465,-0.019629246211540465
9/9/2016,ALL,-0.04099993628126382,0.629973104825361,-0.18051844869283437,-0.43778498481200306
9/9/2016,ALNY,0.017545892774688227,-0.04238214963721188,0.06695431912228927,0.01955074751495937
9/9/2016,ALSN,-0.011443008865595832,-0.09150286864385417,-0.024613581067063444,-0.40986923928187197
9/9/2016,ALV,-0.026035395164252326,0.07248755344156214,-0.3477323732751935,-0.38935415923341304
9/9/2016,ALXN,-0.010257989575570708,0.726613617973656,-0.22317890054793593,-0.025850884104220817
9/9/2016,AMAG,-0.016476892461239744,-0.22449942709091203,0.2675384229540969,-0.22338335247532376
9/9/2016,AMBA,0.02963113082337421,-0.1787244203051689,0.7303884486070857,0.3750910516969601
9/9/2016,AMCX,-0.0219514857101988,-0.12219025917015601,-0.5560601515049121,-0.2262492964608733
9/9/2016,AMH,-0.043330800669908284,-0.07229027976842978,0.5881982268606899,-0.18126485921933652
9/9/2016,AMTD,0.003443183868604101,0.337825040786991,-0.3029976160848132,-0.362290941344553
9/9/2016,ANET,-0.021696853466061154,-0.057220626249277595,0.2413853440671477,-0.40560660107551666
9/9/2016,APAM,0.0078698674974583,-0.18242951997548235,-0.3060091065963612,-0.32351000310971206
9/9/2016,ARI,-0.05150841312586679,-0.20449941674640526,-0.1040078461782932,-0.37233988417996083
9/9/2016,AROC,0.07469124448788333,-0.2238258941425084,0.4712106863994948,0.41973085010479166
9/9/2016,ARR,-0.045651871510701304,-0.2231202579445053,-0.07432651095854041,-0.20615141079005767
9/9/2016,ASB,-0.015428982841134887,-0.14777689816313344,-0.20274740801030536,-0.3852003543429647
9/9/2016,ASH,-0.027259588645683234,0.001299635914724388,-0.09174687569105013,-0.4180861546328462
9/9/2016,ASPS,-0.05417225814146046,-0.23058554627993263,-0.2805127536447843,-0.15271425267974825
9/9/2016,ATI,0.0562891680750138,-0.18976870261358664,-0.1419233767863666,1.0708987180620209
9/9/2016,ATO,-0.05907882561503557,0.009344021913716366,0.014162647409941309,-0.14957622540443133
9/9/2016,ATVI,-0.012167731406602919,0.8433254653437077,0.31820052958503675,-0.29604772972919324
9/9/2016,AVXS,-0.055660877414880454,-0.22021080713908864,0.9108510060505888,0.7737112100921264
9/9/2016,AXDX,-0.05900047723222399,-0.20796001580584608,0.8141199311733731,0.4413524021983044
9/9/2016,AXL,0.007125557860748278,-0.20825491052506578,0.03782443356507773,-0.046420380810633204
9/9/2016,BAH,-0.04020665890529659,-0.09700280420685646,-0.13856125144105583,-0.4154378772791105
9/9/2016,BBT,-0.01859229879715237,0.8348525426754944,-0.0730960971275799,-0.46087578667025964
9/9/2016,BBY,-0.02114841478638012,0.15711333903435892,-0.13496373703070363,-0.3815181604881131
9/9/2016,BCOV,0.0023952742484992444,-0.2370183714890107,1.4368084923762858,-0.0004201659539649309
9/9/2016,BDC,0.01841751853346705,-0.15750201511557774,0.24084084779628598,0.2108797168793666
