date,ticker,vol10,momentum,market_cap,beta
1/17/2014,AUXL,37.421,0.19491993373826622,1222.1027,1.0398
1/17/2014,AVAV,29.95,0.30406001765225066,679.2109,0.7577
1/17/2014,AVGO,37.28,0.28427633276934977,13973.7742,1.1741
1/17/2014,AVGTF,22.835,-0.2533936651583711,919.6096,0.6492
1/17/2014,AVP,20.99,-0.23195437600022203,7074.7761,1.452
1/17/2014,AVT,24.732,0.10708498417734942,6055.9311,1.2257
1/17/2014,AVY,16.021,0.13908640780313464,4941.9001,1.0388
1/17/2014,AWH,15.321,0.1554779213971389,3605.4062,0.66
1/17/2014,AWI,28.605999999999998,0.0347152121116398,3256.2749,1.4380000000000002
1/17/2014,AXL,36.775999999999996,0.033591731266149796,1567.9743,1.9153
1/17/2014,AXLL,15.378,0.16143137922102982,3018.2548,1.4491
1/17/2014,AXS,10.600999999999999,0.052608096145585447,5208.0337,0.7662
1/17/2014,AYI,70.67699999999999,0.17994138035311363,5679.6076,1.2064
1/17/2014,AYR,13.989,0.07084034120224876,1523.4538,1.0946
1/17/2014,AZO,16.302,0.04535322749397261,17052.1272,0.6961
1/17/2014,AZPN,17.863,0.23524868705591606,3950.7421,0.927
1/17/2014,BABY,51.206,0.7168209876543209,794.5305,1.1227
1/17/2014,BAH,13.937999999999999,-0.001285225957526976,2737.4795,0.9054
1/17/2014,BBBY,71.26899999999999,0.03758415687766088,14063.8446,0.9485
1/17/2014,BBY,179.03099999999998,0.39649801470894386,8452.9671,1.2054
1/17/2014,BCEI,42.172,0.11607588617074384,1720.3182,2.0140000000000002
1/17/2014,BCOV,45.846000000000004,0.29506726457399096,337.202,2.0187
1/17/2014,BCRX,66.765,0.28354978354978344,638.187,2.2813
1/17/2014,BDC,21.168000000000003,0.20154323605926927,3023.078,1.3583
1/17/2014,BECN,17.623,-0.12026399413346357,1961.3607,1.1978
1/17/2014,BEN,18.045,0.1238892396107714,36910.225,1.4293
1/17/2014,BGC,29.384,-0.07404301845811741,1504.2195,1.5252
1/17/2014,BGFV,37.91,-0.24698000811478735,435.13800000000003,1.2692
1/17/2014,BHI,19.570999999999998,0.12838454982026815,23996.2398,1.2132
1/17/2014,BID,17.467,0.2377577113632731,3641.5855,1.5290000000000001
1/17/2014,BIG,36.899,-0.09200283292751459,1656.8818,1.0864
1/17/2014,BIIB,54.648,0.3031412772290227,70268.6243,1.1138
1/17/2014,BJRI,35.575,-0.16030108725954828,818.6010000000001,0.9343
1/17/2014,BKD,26.875,-0.02423822714681438,3559.5361,1.4886
1/17/2014,BKU,11.128,0.08124501775490965,3249.8459999999995,0.8640000000000001
1/17/2014,BLL,15.904000000000002,0.11961425114956374,7308.3307,0.9278
1/17/2014,BLOX,71.234,-0.03595574677320216,2018.1905,0.8485
1/17/2014,BLUE,38.454,-0.2903014416775885,563.591,1.2027
1/17/2014,BMRN,25.611,0.09779377249256768,10445.52,0.7679
1/17/2014,BMS,10.227,-0.02841760337133554,4108.3586,0.8572
1/17/2014,BOBE,26.258000000000003,0.01329689366143397,1249.9698,1.0466
1/17/2014,BOFI,30.163,0.47596956763778075,1111.2932,0.6777
1/17/2014,BONT,74.156,-0.08020182077437765,235.6229,1.9848
1/17/2014,BPFH,56.83,0.07039904110273192,1056.0631,1.2589
1/17/2014,BPOP,21.502,-0.13412451581009116,2830.7406,1.6293
1/17/2014,BR,12.579,0.35760829783460923,4580.2062,0.9631
1/17/2014,BRE,8.231,0.146886116999771,4453.7562,0.8754
1/17/2014,BRS,27.441999999999997,0.15678423524658458,2683.3393,0.9952
1/17/2014,BWLD,31.639,0.5243541305013785,2656.8043,0.8999
1/17/2014,BWXT,10.86,0.05960729643043866,3862.4107,1.0117
1/17/2014,BYD,53.333999999999996,0.02319357716324708,1161.1779,1.6087
1/17/2014,BYI,16.459,0.06800793425899684,3171.8497,0.9823
1/17/2014,BZH,30.979,0.15660592255125286,570.0631,2.1537
1/17/2014,CA,16.583,0.12460631048502545,15537.3802,1.0657
1/17/2014,CAA,19.430999999999997,0.012467051721586636,2352.4382,1.8781
