date,market_cap,vol10,beta,momentum
2014-01-03,-0.001817889770918206,-0.01660613694807351,-0.013426067450986658,0.006181554960768068
2014-01-10,-0.001817889770918206,-0.01660613694807351,-0.013426067450986658,0.006181554960768068
2014-01-17,-0.001817889770918206,-0.01660613694807351,-0.013426067450986658,0.006181554960768068
2014-01-24,-0.001817889770918206,-0.01660613694807351,-0.013426067450986658,0.006181554960768068
2014-01-31,-0.0012512473007250356,-0.01735914989999364,-0.013161146143341719,0.006953136967088051
2014-02-07,-0.0012512473007250356,-0.01735914989999364,-0.013161146143341719,0.006953136967088051
2014-02-14,-0.0012512473007250356,-0.01735914989999364,-0.013161146143341719,0.006953136967088051
2014-02-21,-0.0012512473007250356,-0.01735914989999364,-0.013161146143341719,0.006953136967088051
2014-02-28,-0.0018524668775248858,-0.0166040631170808,-0.01291786680420053,0.006666148580629593
2014-03-07,-0.0018524668775248858,-0.0166040631170808,-0.01291786680420053,0.006666148580629593
2014-03-14,-0.0018524668775248858,-0.0166040631170808,-0.01291786680420053,0.006666148580629593
2014-03-21,-0.0018524668775248858,-0.0166040631170808,-0.01291786680420053,0.006666148580629593
2014-03-28,-0.001361902384554174,-0.0181557316966153,-0.008485679643204225,0.005938772856094556
2014-04-04,-0.001361902384554174,-0.0181557316966153,-0.008485679643204225,0.005938772856094556
2014-04-11,-0.001361902384554174,-0.0181557316966153,-0.008485679643204225,0.005938772856094556
2014-04-18,-0.001361902384554174,-0.0181557316966153,-0.008485679643204225,0.005938772856094556
2014-04-25,-0.000503763219587131,-0.01867556811461176,-0.008998993742535067,0.005312650570900187
2014-05-02,-0.000503763219587131,-0.01867556811461176,-0.008998993742535067,0.005312650570900187
2014-05-09,-0.000503763219587131,-0.01867556811461176,-0.008998993742535067,0.005312650570900187
2014-05-16,-0.000503763219587131,-0.01867556811461176,-0.008998993742535067,0.005312650570900187
2014-05-23,-0.0004784093773923702,-0.018267841340748874,-0.006928365177003623,0.005307558434066773
2014-05-30,-0.0004784093773923702,-0.018267841340748874,-0.006928365177003623,0.005307558434066773
2014-06-06,-0.0004784093773923702,-0.018267841340748874,-0.006928365177003623,0.005307558434066773
2014-06-13,-0.0004784093773923702,-0.018267841340748874,-0.006928365177003623,0.005307558434066773
2014-06-20,3.791529424209042e-05,-0.018013968349742136,-0.005261373082335839,0.0049520734658743655
2014-06-27,3.791529424209042e-05,-0.018013968349742136,-0.005261373082335839,0.0049520734658743655
2014-07-04,3.791529424209042e-05,-0.018013968349742136,-0.005261373082335839,0.0049520734658743655
2014-07-11,3.791529424209042e-05,-0.018013968349742136,-0.005261373082335839,0.0049520734658743655
2014-07-18,-0.00016535679821527276,-0.01842510652925361,-0.008170548326311635,0.004917352697016786
2014-07-25,-0.00016535679821527276,-0.01842510652925361,-0.008170548326311635,0.004917352697016786
2014-08-01,-0.00016535679821527276,-0.01842510652925361,-0.008170548326311635,0.004917352697016786
2014-08-08,-0.00016535679821527276,-0.01842510652925361,-0.008170548326311635,0.004917352697016786
2014-08-15,-0.0001477229856438248,-0.018434855418059323,-0.010137322498758806,0.005671781367363907
2014-08-22,-0.0001477229856438248,-0.018434855418059323,-0.010137322498758806,0.005671781367363907
2014-08-29,-0.0001477229856438248,-0.018434855418059323,-0.010137322498758806,0.005671781367363907
2014-09-05,-0.0001477229856438248,-0.018434855418059323,-0.010137322498758806,0.005671781367363907
2014-09-12,0.0006695387760807978,-0.01958027931738382,-0.014871635827542105,0.005707013374905796
2014-09-19,0.0006695387760807978,-0.01958027931738382,-0.014871635827542105,0.005707013374905796
2014-09-26,0.0006695387760807978,-0.01958027931738382,-0.014871635827542105,0.005707013374905796
2014-10-03,0.0006695387760807978,-0.01958027931738382,-0.014871635827542105,0.005707013374905796
2014-10-10,4.590699281983009e-05,-0.02065985466714097,-0.014898162225731332,0.0055620616532818835
2014-10-17,4.590699281983009e-05,-0.02065985466714097,-0.014898162225731332,0.0055620616532818835
2014-10-24,4.590699281983009e-05,-0.02065985466714097,-0.014898162225731332,0.0055620616532818835
2014-10-31,4.590699281983009e-05,-0.02065985466714097,-0.014898162225731332,0.0055620616532818835
2014-11-07,8.171587671933614e-05,-0.021326484816479085,-0.014725875582607526,0.006263360908283598
2014-11-14,8.171587671933614e-05,-0.021326484816479085,-0.014725875582607526,0.006263360908283598
2014-11-21,8.171587671933614e-05,-0.021326484816479085,-0.014725875582607526,0.006263360908283598
2014-11-28,8.171587671933614e-05,-0.021326484816479085,-0.014725875582607526,0.006263360908283598
2014-12-05,-4.583129852882262e-05,-0.022850305661717845,-0.016522543950834103,0.007389271196891322
2014-12-12,-4.583129852882262e-05,-0.022850305661717845,-0.016522543950834103,0.007389271196891322
2014-12-19,-4.583129852882262e-05,-0.022850305661717845,-0.016522543950834103,0.007389271196891322
2014-12-26,-4.583129852882262e-05,-0.022850305661717845,-0.016522543950834103,0.007389271196891322
2015-01-02,0.00017003644433385008,-0.022602071090283792,-0.02125680297711333,0.007923447594562918
2015-01-09,0.00017003644433385008,-0.022602071090283792,-0.02125680297711333,0.007923447594562918
2015-01-16,0.00017003644433385008,-0.022602071090283792,-0.02125680297711333,0.007923447594562918
2015-01-23,0.00017003644433385008,-0.022602071090283792,-0.02125680297711333,0.007923447594562918
2015-01-30,0.00048468245779502916,-0.022149300783757247,-0.018933479842509007,0.007044856278636729
2015-02-06,0.00048468245779502916,-0.022149300783757247,-0.018933479842509007,0.007044856278636729
2015-02-13,0.00048468245779502916,-0.022149300783757247,-0.018933479842509007,0.007044856278636729
