,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio
0,AAWW,0.20000099012693764,Atlas Air Worldwide Holdings,53.65,177789,1.36B,32.64
1,CEC,0.11799137455470231,,,119600,,
2,CPA,0.200001177085249,"Copa Holdings, S.A. Copa Holdin",112.72,355060,4.71B,13.86
3,ECPG,0.20000077728379503,Encore Capital Group Inc,29.95,335016,771.78M,10.19
4,NILE,0.002877708640154957,"Blue Nile, Inc.",40.71,163131,,
5,TFM,0.0959240207170652,"The Fresh Market, Inc.",,1905490,,
6,TK,0.15659547890022463,Teekay Corporation Common Stock,9.16,1310630,789.82M,
7,TRV,0.02660847269187124,"The Travelers Companies, Inc. C",120.38,1440600,33.73B,11.73
