date,momentum,vol10,beta,log_market_cap
2014-01-03,0.0008458085946939358,-0.0005790517758049913,0.0002683470074389299,-0.0005929876712549612
2014-01-10,0.0007682397740970808,-0.00060026574942014,0.00044272409747587863,-0.0006612905923605818
2014-01-17,0.0005059478774146999,-0.0004870431208058824,0.000616334262068961,-0.0005020419581767878
2014-01-24,0.00018552355681266658,-0.0004314680546486591,0.0008450553212200726,-0.00037039322518748883
2014-01-31,3.148174587566932e-05,-0.0007332738260165095,0.0009212190047498723,-0.0005049508654451757
2014-02-07,-6.881168487075116e-05,-0.00043104738143224136,0.0009834335920889381,-0.00031921157070760885
2014-02-14,0.00010679040877010369,-0.0005212141882399862,0.0008591312953466392,-0.0005001198938259341
2014-02-21,-3.392365347070421e-05,-0.000212611981951011,0.0008400644883711833,-0.0005349503391446541
2014-02-28,-0.0005294845905787173,-0.0004344052516836877,0.0006659378179639895,-0.0008304540892887814
2014-03-07,-0.0004584603793914621,-0.0002334357593425501,0.0006995439342000309,-0.0007370552207371623
2014-03-14,-5.51955347596635e-05,-0.00023306713315792148,0.0007391326281450891,-0.0006967465905593694
2014-03-21,-0.000367797668248643,-0.0004917285441459778,0.0007432604884302142,-0.0008359834393478236
2014-03-28,-0.0005269006013143607,-0.0007273600953858463,0.0008214014843000769,-0.0010463714528120304
2014-04-04,-0.000556035025435738,-0.0004381520847990176,0.0008371773225648498,-0.0009441847358926759
2014-04-11,-0.0006235894643203626,-0.00022774082296297415,0.0007435689085324804,-0.0008060102794524536
2014-04-18,-0.0006987372453545822,-0.00019973385011171855,0.000632060493094794,-0.0006997011200387927
2014-04-25,-0.0008305361651422422,-9.513013614839527e-05,0.0003313358754283211,-0.0006996745886685733
2014-05-02,-0.0011092822041367432,-0.00010206780330139648,0.00019627850332956944,-0.000820036980083608
2014-05-09,-0.000812077981541891,-0.0003755793833969624,-0.00012982097177702409,-0.0008118853832289693
2014-05-16,-0.0008738707183796197,-0.000564746657312088,-6.461279359089975e-05,-0.000744177885369827
2014-05-23,-0.0004913406875457055,-0.0009076050496628813,-5.521571436711084e-05,-0.0006901806094190518
2014-05-30,-0.00011560171197981857,-0.0006948530753648704,-0.00020825579015495556,-0.0007554453803647547
2014-06-06,-9.179732405751908e-05,-0.0007839902729680032,-0.0003887791989728749,-0.0007867642555420259
2014-06-13,-9.7738088173521e-05,-0.0005343498881998186,-0.0005836614131841754,-0.0006900064494111163
2014-06-20,-0.00014126449067655337,-0.0005239132169806257,-0.000653327182033401,-0.0006849894247545421
2014-06-27,-5.561018188739878e-05,-0.0005501043430280031,-0.0005835497183846632,-0.0009142013122744684
2014-07-04,-0.000422978546082904,-0.000591945975211763,-0.0006368986179647236,-0.0009054026812731426
2014-07-11,2.631188811618677e-05,-0.0007183733755486637,-0.0005953925000533406,-0.0009062148107080799
2014-07-18,0.00030810521036380367,-0.0007166445294219103,-0.0007269512289238553,-0.0009659661661959196
2014-07-25,1.2487204293671478e-05,-0.0007624349063601456,-0.0007054385105940145,-0.0010588481705577724
2014-08-01,-0.00011448371227160524,-0.0007710307599968824,-0.0007184694207527236,-0.0010169024838324484
2014-08-08,-0.00020267005904049096,-0.0006496209096407112,-0.0007965527760258417,-0.0007641184371092262
2014-08-15,-5.4023548061754895e-05,-0.000493428519565975,-0.0009347045980241734,-0.0007340930896292606
2014-08-22,0.00029745339867745833,-0.0004860976134456096,-0.0011096045247633167,-0.0007275157254861412
2014-08-29,6.576390304978157e-05,-0.00029847791884116056,-0.0012145932079880768,-0.0005343786219391123
2014-09-05,0.00023281595272964042,-0.0005729613892370362,-0.0009717078972599808,-0.0007062960251756315
2014-09-12,-0.00013006118811412833,-0.0004678040396842511,-0.0008503227779635541,-0.0006270852239625951
2014-09-19,-3.2062944494925445e-05,-0.0007151919044961979,-0.0007736920762844603,-0.0005465486851364943
2014-09-26,0.00012506166575726042,-0.000550202311240708,-0.0005507247316263145,-0.00012788285071323082
2014-10-03,2.8864058520116806e-05,-0.0007339247964157493,-0.0005481215032505656,-0.00014639103147391674
2014-10-10,-0.000179285704653237,-0.0008612289758857513,-0.0002631821647850292,-0.00010583613755517855
2014-10-17,-6.855981241821723e-05,-0.000685623761544425,-0.0002728403432216646,-8.690201654740192e-05
2014-10-24,0.00031355569474988124,-0.0005125319297714512,-0.00019249167488475817,0.00011468012353043974
2014-10-31,0.0005542582104855444,-0.0006296406081548351,-0.000230336408352143,0.00019971940156795532
2014-11-07,0.0007798352917467328,-0.0006222423324293798,-9.43701417182417e-05,0.00032877384928512457
2014-11-14,0.00101891393184076,-0.000578703103095104,-6.072255886384929e-05,0.00032630728472265926
2014-11-21,0.0008133589466071682,-0.0006162322784486352,0.00010586030892108686,0.0002896406401484772
2014-11-28,0.0015529265555384785,-0.0005925723392216743,0.00023963446685302801,0.00040467253632024084
2014-12-05,0.0014184238584906543,-0.0005463074763288727,0.0005179210925807467,0.00041432611788418024
2014-12-12,0.0018483441628755286,-0.00037648308867366313,0.00045974815180029245,0.0003992667206193528
2014-12-19,0.0012555652213883755,0.00010528055252792967,0.00036098696167933126,0.0005369739636156797
2014-12-26,0.0010366964918408128,-5.335681778407852e-05,0.00043882530194653754,0.0006092474965982734
2015-01-02,0.0009711843381174764,-7.126844610779447e-05,0.0004528948064818909,0.0004861560091590343
2015-01-09,0.00163077542416354,-7.176073082708962e-05,0.000500817954313912,0.0007381371986543173
2015-01-16,0.0018993766728945766,-7.631186651426852e-05,0.00046464132650689646,0.0009593130621254095
