date,momentum,beta,market_cap,vol10
2014-01-03,0.00012708629430348273,3.392248752454937e-05,0.00028021644213799724,0.0003965839148821017
2014-01-10,0.0002433330713032517,1.761001793459696e-05,0.0002373789704840702,0.00027875152856446915
2014-01-17,0.00024253052922915233,7.683582954216083e-05,0.0003180740305430403,0.0002703092813343428
2014-01-24,0.00022714067465815594,0.00016736144176607312,0.0003175401689827437,0.0001875514667565575
2014-01-31,0.0002881279995537491,0.00015321966606019253,0.00030787462491510206,0.00015625136660001425
2014-02-07,0.00016303196486578927,9.812877817090204e-05,0.0003098756956083131,0.0001487440841795187
2014-02-14,0.0002719035400289349,0.00012917591980609819,0.0002989501755599989,0.0001397775841879215
2014-02-21,0.00027001604885613917,8.996282198348527e-05,0.0003069229584802255,0.00011911092712890788
2014-02-28,0.00013273538072432442,7.565943064511867e-05,0.0002929397609728311,5.032946053674276e-05
2014-03-07,0.00010468299808827003,0.00012888467418530682,0.00032665770336931093,9.73378057987638e-05
2014-03-14,5.674954215220832e-05,0.00017139386954930188,0.0002947609738493656,3.056495740510225e-05
2014-03-21,4.664136365695823e-05,0.00023386124140023317,0.0002907264317248037,3.6625162911382724e-05
2014-03-28,-1.2635481726302101e-05,0.00023333327227535426,0.00027690049103426756,4.9539642825634175e-05
2014-04-04,-5.452255245522326e-05,0.00019878760119727747,0.0002881062374016879,4.597949169377566e-05
2014-04-11,-8.450295821784613e-05,0.00019866431711394449,0.000262430204401842,7.879451876600917e-05
2014-04-18,-6.153261881947898e-05,0.00017489725035031145,0.00027691606932916257,0.00010647971528266241
2014-04-25,-0.0002341163745696755,0.00016256545967515955,0.000251515614970172,7.401461115189889e-05
2014-05-02,-0.000266033229837395,9.608571517806863e-05,0.00026462574230626815,7.662168507886611e-05
2014-05-09,-0.00028902701516508904,0.00016122949858191865,0.00025882883495210177,7.47484494358135e-05
2014-05-16,-0.0002933226372985808,0.00019326752367276537,0.0002250754352651193,0.0001340842854358996
2014-05-23,-0.0003849155439121888,0.00017069646810657907,0.00017469101789484838,0.00015232095825926494
2014-05-30,-0.0003004235892652567,0.00015543973871450003,0.00023353364813350584,0.00019544122945723175
2014-06-06,-0.0003639284053791671,0.0001395324481198341,0.00021068635469962817,0.00020154665636552523
2014-06-13,-0.0003867972549303373,-2.2282959098237148e-05,0.00016866870613862803,0.0002294857865516607
2014-06-20,-0.0004398738244528458,-8.25222336761792e-05,0.00018053706121858883,0.00024203814656189058
2014-06-27,-0.0003867716945570233,4.2622145192936504e-05,0.00018356455077399184,0.000247790823352529
2014-07-04,-0.0004996024382062116,4.661820347661191e-05,0.00020284789200020534,0.0002454268804502577
2014-07-11,-0.00039165414105377507,8.385362218416467e-05,0.00020997239831591655,0.00017122471444476096
2014-07-18,-0.00023025881473412094,1.0583522098401421e-05,0.00024962014986486193,0.00018766984230311203
2014-07-25,-0.0003264268429465237,6.224192883035625e-05,0.0002203540248201031,0.00012910723579152893
2014-08-01,-0.00041437551928382875,4.901357058851061e-05,0.00019105270769408363,0.00018295842279859268
2014-08-08,-0.00024291954321676174,1.0135098020053454e-05,0.0002606417136817396,0.00024622685782974365
2014-08-15,-0.0002318518749499071,4.9495999419507344e-05,0.0002611382624960554,0.00023367751670923964
2014-08-22,-0.00029358240080318255,6.447572995463461e-05,0.0002616191079678156,0.00023373762421474497
2014-08-29,-0.000356449931642436,-1.9250398882374342e-05,0.0002525932277698744,0.00022924846961284732
2014-09-05,-0.000233728299694822,-9.606443731392354e-07,0.00030433796094145223,0.000288150779419007
2014-09-12,-0.00020014360564076468,5.216591010945957e-06,0.0003266414267829806,0.000334650664189173
2014-09-19,-0.00030751480744569255,-3.155055682243568e-05,0.00029331837093092875,0.00032623794389190143
2014-09-26,-0.0004046372869222828,-6.52335600910276e-05,0.00028393133263797545,0.00032118288724439367
2014-10-03,-0.0004684612979652912,-4.996429174958224e-05,0.00034103538695301765,0.00033363848149407446
2014-10-10,-0.00041970488713034143,-0.0001397565836641398,0.00031572550353997116,0.0002331568137189798
2014-10-17,-0.0004949804855631239,-0.00018010771383428881,0.0002917794286612617,0.000273396212733003
2014-10-24,-0.00041981681489909904,-0.00013038269406010546,0.00022515333543634034,0.00028774043051949005
2014-10-31,-0.000332545878948784,-0.00013063301853188128,0.00025075322559791946,0.00033393352970607855
2014-11-07,-0.00027815158736724255,-0.0001802185199943558,0.0002712823136341614,0.0003306840332660352
2014-11-14,-0.00019754100613930735,-0.0001234923745544853,0.0002582077984484436,0.0003554628086925286
2014-11-21,-0.00022093005361086205,-0.00011234991034288695,0.00019901539588536608,0.0002660012862443295
2014-11-28,0.00014222548284680757,-0.00012580401433531297,0.00019626248950780349,0.00027036422817532503
2014-12-05,0.00026777752923874074,-0.00016429968665449644,0.00015947164250534838,0.0002305798305978018
2014-12-12,0.00038669744688702855,-0.00021532798763028484,0.00014592654075358161,0.00018400207304538143
2014-12-19,0.00024325899816981654,-0.00022995523839827354,0.0001123595810683085,0.00018025722107717606
2014-12-26,0.0002532421409545133,-0.00025989531092951527,0.00010549309011647906,0.00016882870828912572
2015-01-02,0.00021706159164847303,-0.0002748963287667156,9.98155753886588e-05,0.00018195715618112826
2015-01-09,0.0005102618920444571,-0.00023544831993899592,7.515465000434509e-05,0.00015251473965524018
2015-01-16,0.0005168214624459491,-0.00024061893816074324,6.349923431169172e-05,0.00012018892555111624
2015-01-23,0.0005409136127188353,-0.0002818914188879631,3.7220940052348016e-05,8.89071119015143e-05
