Ticker,Weight
IBKR,0
ICPT,0
IDA,0
IDT,0
IDTI,0
IEX,0
IFF,0
IIIN,0
ILG,0
IMKTA,0
IMMR,0
IMPV,0
INCR,0
INCY,0
INGN,0
INN,0
INOV,0
INSM,0
INSW,0.1898066641
INSY,0
INT,0
INVA,0
IOSP,0
IPG,0
IPGP,0
IPXL,0
IR,0
IRBT,0
IRIX,0
IRTC,0
IRWD,0
ITRI,0
ITT,0
IVC,0
IXYS,0
JAZZ,0
JBHT,0
JBL,0
JCI,0
JCOM,0
JKHY,0
JNPR,0
JOE,0
JOY,0.1333493453
JRVR,0
JW/A,0
JWN,0
KAR,0
KBAL,0
KELYA,0
KEX,0
KEYS,0
KEYW,0
KLAC,0
KLIC,0
KLXI,0
KMPR,0
KMT,0
KMX,0
KN,0
KORS,0
KPTI,0
KR,0
KRA,0
KRG,0
KRNY,0
KRO,0
KS,0
KSS,0
LABL,0
LAD,0
LADR,0
LAZ,0
LBRDA,0
LBRDK,0
LBTYA,0
LBY,0
LCI,0
LDL,0
LE,0
LGF/A,0
LGND,0
LHCG,0
LION,0
LKFN,0
LKSD,0
LLTC,0
LLY,0
LMOS,0
LMT,0
LNC,0
LNN,0
LOCO,0
LOGM,0
LPI,0
LPLA,0
LPT,0
LPX,0
LSXMA,0
LUK,0
LULU,0
LVLT,0
LVNTA,0
LVS,0
LXP,0
LXRX,0
LZB,0
M,0
MA,0
MAA,0
MAC,0
MAN,0
MAR,0
MAS,0
MASI,0
MB,0
MBFI,0
MBWM,0
MCHP,0
MCK,0
MCY,0
MDC,0
MDLZ,0
MDP,0
MDSO,0
MGEE,0
MGI,0
MGLN,0
MHK,0
MJN,0
MLI,0
MMI,0
MMS,0
MNI,0
MNK,0
MNRO,0
MNST,0
MNTA,0
MO,0
MOG/A,0
MON,0
MORN,0
MOS,0
MPAA,0
MPC,0
MPSX,0
MPW,0
MPX,0
MRC,0
MRLN,0
MSBI,0
MSCC,0
MSFG,0
MSFT,0
MSG,0
MSGN,0
MTB,0
MTD,0
MTEX,0
MTG,0
MTGE,0
MTN,0
MTRN,0
MTSC,0
MTZ,0
MU,0
MUR,0
MUSA,0
MXIM,0
MYE,0
MYGN,0
NASB,0
NAV,0
NAVG,0
NBHC,0
NBIX,0
NBL,0
NCIT,0
NCLH,0
NCOM,0
NCS,0
NDSN,0
NFBK,0
NFG,0
NFLX,0
NICK,0
NKSH,0
NLNK,0
NLS,0
NLSN,0
NLY,0
NMFC,0.0051701023
NNI,0
NOC,0
NOVT,0
NPTN,0
NRIM,0
NSIT,0
NSM,0
NSTG,0
NTB,0
NTRI,0
NUAN,0
NUE,0
NUTR,0
NUVA,0
NVR,0
NVRO,0
NWBI,0
NWPX,0
NWS,0
NXRT,0
NXST,0
NXTM,0
NYCB,0
NYNY,0
OCFC,0
OCLR,0
ODC,0
ODFL,0
OFS,0
OGE,0
OHI,0
OI,0
OII,0
OIS,0
OLBK,0
OLED,0
OLLI,0
OLP,0
OMAM,0
OMC,0
ON,0
ONB,0
ONCE,0
ORCL,0
ORI,0
ORIT,0
OSBC,0
OSIS,0
OSTK,0
OTTR,0
OXY,0
OZRK,0
P,0
PAG,0
PAY,0
PAYC,0
PBCT,0
PBH,0
PBNC,0
PBYI,0
PCBK,0
PCRX,0
PDCE,0
PDVW,0
PE,0
PEGA,0
PEGI,0
PEI,0
PEN,0
PERY,0
PETS,0.0082595377
PFE,0
PFG,0
PFIS,0
PGNX,0
PGR,0
PGRE,0
PGTI,0
PH,0
PHM,0
PHX,0
PJT,0
PKE,0
PKG,0
PLAB,0
PLAY,0
PLT,0
PNFP,0
PNK,0.036901592
PNM,0
PNR,0
PODD,0
POOL,0
POR,0
PPC,0
PPG,0
PRA,0
PRAA,0
PRFT,0
PRGO,0
PRK,0
PRTA,0
PRTY,0
PRXL,0
PSB,0
PSX,0
PTC,0
PTGX,0
PTI,0
PTLA,0
PVBC,0
PWOD,0
PWR,0
PX,0
PZZA,0
QDEL,0
QEP,0
QSII,0
QSR,0
QTNA,0
QTS,0
QUAD,0
QUOT,0
QVCA,0
R,0
RARX,0
RDI,0
RECN,0
RES,0
REXR,0
RGA,0
RGLD,0
RGNX,0
RGS,0
RHP,0
RHT,0
RICE,0
RIG,0
RLI,0
RMAX,0
RMBS,0
RNET,0
ROIC,0
ROP,0
RP,0
RPAI,0
RPD,0
RPXC,0
RRC,0
RRD,0
RRR,0
RTEC,0
RTRX,0
RUSHB,0
RVNC,0
RXN,0
SABR,0
SAFT,0
SAIC,0
SAMG,0
SAVE,0
SBAC,0
SBCF,0
SBGI,0
SBSI,0
SBY,0
SC,0
SCAI,0.0097089881
SCCO,0
SCHL,0
SCHW,0
SCM,0
SCOR,0
SCSC,0
SD,0
SEB,0
SELB,0
SEM,0
SERV,0
SFL,0
SFLY,0
SFNC,0
SGC,0
SGEN,0
SHO,0
SHOO,0
SIFI,0.0288612657
SIGI,0
SITE,0
SIVB,0
SJI,0
SLAB,0
SLB,0
SLD,0
SLG,0
SLM,0
SMCI,0
SN,0
SNC,0
SNCR,0
SNDX,0
SNH,0
SNHY,0
SNI,0
SNOW,0
SNPS,0
SNX,0
SONA,0
SPA,0
SPG,0
SPKE,0
SPLK,0
SPOK,0
SPTN,0
SPXC,0
SR,0
SRCE,0
SRDX,0
SRPT,0
SSB,0
SSNI,0
SSTK,0
STAR,0
STC,0
STFC,0
STL,0
STMP,0
STWD,0
SUI,0
SUP,0
SWC,0
SWK,0
SWM,0
SYBT,0
SYF,0
SYKE,0
TACO,0
TAP,0
TCB,0
TCMD,0
TDC,0
TDG,0
TDOC,0
TDS,0
TEN,0
TER,0
TG,0
TGH,0
TGI,0
TGNA,0
TGT,0
THG,0
THRM,0
TIER,0
TIF,0
TILE,0
TITN,0
TIVO,0
TJX,0
TMHC,0
TMK,0
TMST,0
TMUS,0
TOWN,0
TPIC,0
TPRE,0
TRC,0
TREX,0
TRHC,0
TRMB,0
TROW,0
TRTN,0
TRU,0
TRV,0
TSC,0
TSCO,0
TSLA,0
TSN,0
TSQ,0
TTC,0
TTEC,0
TTS,0
TUSK,0
TWTR,0
TXN,0
TXRH,0
TYL,0
UBNK,0
UBSH,0
UCP,0
UE,0
UFPT,0
UFS,0
UHAL,0
ULH,0
ULTA,0
UMPQ,0
USFD,0
UTEK,0
UTX,0
VASC,0.0850267455
VEC,0
VECO,0
VEEV,0
VFC,0
VGR,0
VIA,0
VIAB,0
VLY,0
VMI,0
VMW,0
VNDA,0
VNO,0
VR,0
VRNS,0
VRNT,0
VRSK,0
VRTV,0
VSAR,0
VSEC,0
VSI,0
VVI,0
VVV,0
VYGR,0
VZ,0
WAAS,0
WABC,0
WAGE,0
WAIR,0
WASH,0
WBA,0
WBMD,0
WCC,0
WD,0
WDAY,0
WDC,0
WDFC,0
WDR,0
WEB,0
WEN,0
WERN,0
WFBI,0
WFC,0
WFM,0
WHG,0
WINA,0
WIRE,0
WIX,0
WK,0
WLH,0
WLK,0
WMGI,0
WMK,0
WMS,0
WMT,0
WOOF,0.0258137196
WPC,0
WPX,0
WR,0
WRI,0
WSM,0
WTBA,0
WTFC,0
