date,beta,momentum,vol10,market_cap
2014-01-03,-0.003201222396517855,0.0013976973460090223,-0.005257776588305283,-0.0005952282512567916
2014-01-10,-0.003253894599725279,0.0014756801233997779,-0.005347704806739231,-0.000650169501894037
2014-01-17,-0.003404633072878604,0.0014655446967400529,-0.005360964963630413,-0.0006833633201327069
2014-01-24,-0.003498405130987209,0.0015941796139474012,-0.00535566046649026,-0.0005567534230408348
2014-01-31,-0.003869661486756604,0.0016555335417200296,-0.005442803668314586,-0.0003807945934520485
2014-02-07,-0.003713322418429663,0.0016737273948098123,-0.005712543847609505,-0.00048206073196161635
2014-02-14,-0.0036586209027032485,0.0016906347768693986,-0.005515181197243694,-0.000488678151786483
2014-02-21,-0.0032613273510202403,0.0016736765237498003,-0.0054265093173260955,-0.0005036982255797699
2014-02-28,-0.0032543545435008516,0.0016839291244361485,-0.005204073076455137,-0.0006830726614700275
2014-03-07,-0.002809426955212732,0.0015922727954588722,-0.005204251255891659,-0.0006098184511191423
2014-03-14,-0.0027784218810505564,0.0016027777499593805,-0.005215387725110788,-0.0006289921042642177
2014-03-21,-0.0029598724546778476,0.001593968219269965,-0.005643547609465002,-0.0004848928518322044
2014-03-28,-0.0025582793776520577,0.0015603346489102346,-0.005747982826679596,-0.0005019288755561801
2014-04-04,-0.002744499853897139,0.0014357650164202403,-0.005815831997899696,-0.000546821421130333
2014-04-11,-0.002397360272813716,0.001425668794476549,-0.005876074723958632,-0.0005207459555076563
2014-04-18,-0.0023825615298333404,0.001394712938636174,-0.005760821709533285,-0.00043024539065818814
2014-04-25,-0.0028423631766381356,0.0013492277262983948,-0.005830869330131775,-0.0003520463860756255
2014-05-02,-0.0023618803686094006,0.0012121760746186914,-0.0061748432907132444,-0.0003294800545926651
2014-05-09,-0.002674692529054661,0.001144695817762659,-0.006054106119022805,-0.0002362099489769625
2014-05-16,-0.0027758927427430184,0.0011492343353030877,-0.005834141770989677,-0.000230464698969342
2014-05-23,-0.002429292840357929,0.0011390055127806593,-0.006110231415827163,-0.0002831274798192608
2014-05-30,-0.0009712785349219266,0.0011478993072003073,-0.006153206699613007,-0.00027931627869198506
2014-06-06,-0.0013048060267497957,0.001092671729214481,-0.005931001114024943,-0.00031444285661451154
2014-06-13,-0.0015426498105199878,0.0011664491015605362,-0.0057489347208140645,-0.0003551672639450308
2014-06-20,-0.0012715051591388677,0.0010726687313425815,-0.005953631699675647,-0.0002999721560943411
2014-06-27,-0.0011374600700444525,0.0009790307193464744,-0.005872845955294446,-0.0002832432030406199
2014-07-04,-0.001802491757071769,0.0010617430415655106,-0.005917800549865026,-6.272710617780437e-05
2014-07-11,-0.001567195300509539,0.0010656724720115095,-0.0058672817357811255,-2.33819924412819e-05
2014-07-18,-0.0016617378291069644,0.0010303229892741866,-0.005896260300170634,-9.172107918618385e-05
2014-07-25,-0.002084220737757907,0.0009061397770544505,-0.00597338433146854,-0.00018854816116045656
2014-08-01,-0.0020052920553392016,0.0009452862087188392,-0.005873171563119854,-0.0002725159070542932
2014-08-08,-0.0021542274049707617,0.00109130853071569,-0.005890826961384458,-0.00026790931543253533
2014-08-15,-0.0020927840420071563,0.0010651968667771533,-0.00600031507106955,-0.00021116908236554457
2014-08-22,-0.001959289210780368,0.001105273917431569,-0.006104044416677224,-0.0002641476785353475
2014-08-29,-0.0024068359706039245,0.001097612603941615,-0.006018242694853095,-0.00021071942917694659
2014-09-05,-0.0024193915244930717,0.0010179485316556935,-0.0059778628229929225,-0.00018767696660680565
2014-09-12,-0.002635914995155706,0.0011240896788709365,-0.006076205979055637,-6.061569587547655e-05
2014-09-19,-0.0032234960035249297,0.0011483296049950543,-0.0061924044809887595,2.9875980449415907e-06
2014-09-26,-0.0031758721202338994,0.0011195719273049513,-0.006185000680206974,1.8278825433403632e-05
2014-10-03,-0.004403293723590014,0.001049908166360151,-0.006446236548326188,1.5603510382445026e-05
2014-10-10,-0.003546778671133151,0.001032291688288631,-0.0064693291305074575,-0.00014334305579844165
2014-10-17,-0.003107041483386629,0.0010968027777258772,-0.006420861857610706,-0.00014961244064215444
2014-10-24,-0.0028440504559090803,0.0011840203907767524,-0.006584113835983496,-0.00017752147457566038
2014-10-31,-0.0030836540102212357,0.0011816635874272658,-0.006494989052258573,-0.0001449150495921927
2014-11-07,-0.0028234083939798153,0.0012202090173638012,-0.00657339271835016,-0.00016952958384242953
2014-11-14,-0.002650596091095188,0.00125009806637686,-0.006420870041558081,-0.00015251003209967683
2014-11-21,-0.0032646402583730067,0.0014052535507725024,-0.006660937810711082,-0.00015945004353590432
2014-11-28,-0.00331027336160781,0.0014918845334599138,-0.007096001210491414,-0.00012901901718363398
2014-12-05,-0.0038224534118324357,0.0016071475541839554,-0.007245546784509832,-0.0002548584028286187
2014-12-12,-0.0029499790996418856,0.0015969978484616217,-0.007138040975673294,-0.0001984858369116691
2014-12-19,-0.0030885122195494817,0.0016564981931850226,-0.00708794232356888,-0.00017529901876470676
2014-12-26,-0.0031975676288598003,0.0015965272380539328,-0.007010522283285721,-0.00018699147020912062
2015-01-02,-0.004083306334968381,0.0017307604333396563,-0.007013658855358177,-0.0001421029604552872
2015-01-09,-0.0046672212085068256,0.0017760953375454405,-0.007088274879753011,-0.0001529306557115701
2015-01-16,-0.004368771935657051,0.0017788075017454506,-0.007199800049141595,-0.00010932969639478125
2015-01-23,-0.004581834525171821,0.0017367055988946121,-0.007114291182544873,-0.0001764556429869852
2015-01-30,-0.003736809834039363,0.001518374754965364,-0.007130589820552813,-0.00013843858315958047
