date,momentum,vol10,beta,market_cap
2014-01-03,0.0010825240978000461,-0.0002238596186174154,-0.00019964227184720318,-5.579329741943937e-05
2014-01-10,0.0011865344333114507,-0.00036464599748661097,-8.97742427716271e-06,-4.021803422590644e-05
2014-01-17,0.000963237007902739,1.1516196184824187e-05,8.787223388129794e-05,0.00014527830027039924
2014-01-24,0.0006323331959445212,7.712798652751565e-05,-4.5711859284820744e-05,0.00011578656587899716
2014-01-31,0.0005317792529364496,8.663940292559162e-05,8.669919576188033e-05,0.00022927231369698897
2014-02-07,0.00031988714752413596,-5.3001826914108716e-05,0.00027624348152333034,0.0004359278385557379
2014-02-14,0.0005771339913522458,2.0286898630203092e-06,0.00020851257152572155,0.00017170031963661782
2014-02-21,0.0004587710577413159,-0.00023160829305715657,0.00012149378932060403,2.2225296675815867e-05
2014-02-28,-0.00015164548381554235,-0.0002901551802700951,0.0003284850944937938,-6.374683968231203e-05
2014-03-07,-8.469558986860572e-05,-0.00024965254492488766,0.0004859409876753624,-2.480643938858618e-06
2014-03-14,0.000282049133605186,-0.0001374642681746777,0.00048640329534087415,0.00011788171310880769
2014-03-21,-0.0001228386036614699,0.00022111472101067297,0.0005868169889048917,7.976789297341198e-05
2014-03-28,-0.0004123314531877585,0.0002279169497914111,0.0008550997391670802,0.00012426619633701332
2014-04-04,-0.0007036720884251365,0.00023010606878693637,0.0010763396625363465,0.0002074798245593901
2014-04-11,-0.0008865057361059465,0.00024872299583544676,0.000948652598616378,0.0002806337770936754
2014-04-18,-0.0011090222852997516,2.7916502318515828e-05,0.0008350759798170535,0.0003756297228387779
2014-04-25,-0.0014470345447425955,0.00030762907345859513,0.00039776748460852474,0.0003266867739165048
2014-05-02,-0.001727057093380741,0.0003205864412748841,0.000426127412130323,0.00035205760758313416
2014-05-09,-0.0012143663300739696,0.0003530965323868523,0.0005471445940014173,0.000478862453059816
2014-05-16,-0.001414067795818473,0.0003023104955434716,0.000535672002608111,0.00041536907452357434
2014-05-23,-0.0010393724174366525,0.0003105612174988703,0.0005311247919995203,0.000510557392835055
2014-05-30,-0.0005459322281713978,0.00020833347600239557,0.0004737267054750446,0.0001724003247518328
2014-06-06,-0.0004990793882552898,3.108894751418358e-05,0.0005008605058613162,0.00028676030546584636
2014-06-13,-0.0004957284820099278,0.00022785054570731507,0.00046485021934856746,0.00012279698312507624
2014-06-20,-0.0005062202445670074,0.000371303841843567,0.0004998566705863517,0.0003785059866691684
2014-06-27,-0.0005102721213722294,0.00042787494648481843,0.0005199696418119637,0.000283490739714941
2014-07-04,-0.0008279237299739994,0.0007813979733044822,0.0004407226719051697,0.0003994727407250674
2014-07-11,-0.0003447068566783526,0.0007101853852300188,0.0003216941059069489,0.0004417550757956085
2014-07-18,-0.00010162303191746039,0.0006743030623090893,0.00032526152739109637,0.0005110083563634602
2014-07-25,-0.0005378527992059476,0.0006902218480924568,0.0002567030493665561,0.0004412592274782509
2014-08-01,-0.0008295700529911102,0.0006354625782875339,8.590067965208904e-05,0.000300239509840684
2014-08-08,-0.0010337439502705464,0.0003211748717670713,-0.0001794425540994915,0.00020600375016013568
2014-08-15,-0.0008645306382055897,0.00013298299901641213,-0.0003203379625151927,0.0001409985880634368
2014-08-22,-0.0004492439978851188,0.00018776071179791816,-0.0004355637899629242,0.0002208357387035389
2014-08-29,-0.0007860985081651852,-0.00018699999549906928,-0.00047985993925171646,0.0001233490147200424
2014-09-05,-0.0005536656923517963,1.6294177751798534e-05,-0.0005063112783929182,9.14882299854645e-05
2014-09-12,-0.0010859363536984393,-0.000151081290270193,-0.00034921604060678075,0.00025619776705252496
2014-09-19,-0.0010516647815129012,-6.225276052780809e-05,-0.00034942249202452405,0.0003815496304495273
2014-09-26,-0.0008570063764893367,-7.483150050158468e-05,-0.0005499645812205192,0.0003365284656333805
2014-10-03,-0.0009430753737795869,-0.00045468580776528926,-0.0005933928973255507,1.8850216070838943e-05
2014-10-10,-0.0012793267435304942,-0.0003801092580973592,-0.0006277163130320825,7.450574383565039e-05
2014-10-17,-0.0009001966864469901,-0.0004361572129566967,-0.0006513489759456521,9.352591268172338e-05
2014-10-24,-0.00043308196366648194,-0.0003200820711682597,-0.000746238514412773,0.00020668617303879605
2014-10-31,2.514822805617254e-05,4.8037182810149506e-05,-0.0007706573874013259,0.0002020877666773286
2014-11-07,0.0004652420200331752,-0.00014951291950809933,-0.0007468761404377096,8.182136524546351e-05
2014-11-14,0.0008379757265531822,-0.0001874807946310517,-0.000613244651849487,5.8280722842829854e-05
2014-11-21,0.0007405260917803861,-0.00014337172600437006,-0.00022299595919793392,0.00025574536428123954
2014-11-28,0.0017626187288109787,-8.64687261587642e-05,-0.00032804418584241594,0.0002906789440158063
2014-12-05,0.0020056602148706168,-0.00024120378497388667,-0.0006266793235796885,0.00024845037013660235
2014-12-12,0.0023762351343271093,-0.0003279698905944617,-0.0006903988703219551,0.00025809831045505154
2014-12-19,0.0016262138787788755,-0.0003353882326407622,-0.000620795094854032,0.00023570002200185865
2014-12-26,0.0014505952853699452,-0.00021299308606576725,-0.0003979377967976249,0.00045831496969588915
2015-01-02,0.0014141889953777208,-9.200765829569048e-05,-0.0003568825469796112,0.000429166108904753
2015-01-09,0.0022761711606001976,0.00020731387432333317,-0.000499870332341836,0.0005949208836174821
2015-01-16,0.0024678271203934245,0.0002980538801987126,-0.0006161483988226113,0.0005985336519174231
2015-01-23,0.0024532720180539796,0.0003618577210832498,-0.0007445407598671489,0.0006759094851881729
