date,vol10,beta,market_cap,momentum
2014-01-03,-0.0011390034608847138,0.0010068301172145048,-0.0010971882042138772,0.0001768262759119272
2014-01-10,-0.0009422870013655737,0.0013219220333266714,-0.0010637649690052272,0.00020908183600568795
2014-01-17,-0.001876946476533301,0.001501525024126984,-0.0012522948836190683,0.00013236822100303895
2014-01-24,-0.0019088359854114952,0.001409525592905015,-0.001322072784839766,8.792569462361063e-05
2014-01-31,-0.0018337207737923829,0.0012118121941114548,-0.00103131309899213,-5.660036557463164e-05
2014-02-07,-0.002243650601612394,0.001484138643147515,-0.0007006083184418007,0.00014987682904902603
2014-02-14,-0.001991295752119523,0.0016263118746374019,-0.0005310136536675943,0.00011790707188915805
2014-02-21,-0.001750291340440005,0.001994279890514281,-0.0004144801201078017,-0.0001558488087465792
2014-02-28,-0.0019759395920283316,0.0018933084785432174,-0.0007325696345409538,-0.00016049841192890512
2014-03-07,-0.0018621482995773387,0.0017304827935327963,-0.0010704516580659171,-0.00023229232552982336
2014-03-14,-0.001950087593217624,0.0011744664369414703,-0.001234649635878899,-2.4203659639692795e-05
2014-03-21,-0.0025374877611985575,0.001479801669456517,-0.001260378689038258,-6.071814156897789e-05
2014-03-28,-0.0032527769913722813,0.0015335413022685397,-0.0010967035095705577,-0.0001655598070232064
2014-04-04,-0.0040183126416347605,0.001498571651943055,-0.0010853685659542236,-4.083051328502038e-05
2014-04-11,-0.004622668085192339,0.0013613600751843167,-0.0012218482029617958,-0.0001594383830363492
2014-04-18,-0.004557220255939172,0.0013725287317521754,-0.0012054945264346126,-0.00018420381092931816
2014-04-25,-0.004931031067237232,0.0010643152727274816,-0.0011204173381609446,-0.00027619393842224566
2014-05-02,-0.00495010663971793,0.0011443746780598703,-0.0010758923174607243,-0.00016060248750752795
2014-05-09,-0.005248740270988521,0.0012276437284706833,-0.0008012894919356323,-5.38095083690567e-05
2014-05-16,-0.005339252188928218,0.0011228482820981789,-0.0007665008204181636,-0.0002682245175682998
