,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio
0,AAWW,0.18730879636635986,Atlas Air Worldwide Holdings,51.85,171854,1.34B,32.22
1,AEO,-0.047775563418465436,"American Eagle Outfitters, Inc.",13.99,4518710,2.55B,12.06
2,AMAG,0.028928052331417053,"AMAG Pharmaceuticals, Inc.",22.15,1356280,764.04M,
3,ASB,0.008852240901835864,Associated Banc-Corp Common Sto,23.40,894167,3.61B,18.85
4,BAH,-0.19999598804563914,Booz Allen Hamilton Holding Cor,35.75,1276250,5.37B,21.57
5,CEC,0.14531564403516303,,,40670,,
6,CL,0.006278227091661,Colgate-Palmolive Company Commo,73.43,4508230,65.13B,27.12
7,CPA,0.19999598969914809,"Copa Holdings, S.A. Copa Holdin",108.74,350884,4.64B,13.65
8,DVAX,-0.020753614579993744,Dynavax Technologies Corporatio,6.05,1315820,266.11M,
9,ECPG,0.1999959891002942,Encore Capital Group Inc,30.85,341785,801.22M,10.58
10,FCN,0.05700432143334309,"FTI Consulting, Inc. Common Sto",40.09,255487,1.65B,19.60
11,LKFN,-0.13643828051708742,Lakeland Financial Corporation,41.71,70026,1.06B,20.80
12,NAVG,-0.03902995725822361,"The Navigators Group, Inc.",54.05,58323,1.59B,19.84
13,NILE,0.07117486800117889,"Blue Nile, Inc.",40.71,163131,,
14,NLSN,0.022012895299153786,Nielsen N.V. Ordinary Shares,41.03,2708030,14.78B,29.74
15,QTS,0.008614708756566749,"QTS Realty Trust, Inc. Class A",47.42,436898,2.27B,103.63
16,SLCA,-0.005833792356322366,"U.S. Silica Holdings, Inc. Comm",44.80,2077690,3.82B,
17,SONC,-0.03930355329728063,Sonic Corp.,23.35,986907,1.05B,17.89
18,TFM,0.1298051519525927,"The Fresh Market, Inc.",,1905490,,
19,TK,0.1910026731621429,Teekay Corporation Common Stock,8.82,1282320,783.79M,
20,TMHC,0.005494496289126986,Taylor Morrison Home Corporatio,21.28,935305,906.48M,12.75
21,TRV,0.06181094981334023,"The Travelers Companies, Inc. C",121.01,1447520,34.07B,11.85
22,UFI,-0.010838976104405436,"Unifi, Inc. New Common Stock",26.90,73006,498.68M,14.80
23,WETF,0.08559077128398408,"WisdomTree Investments, Inc.",8.56,2670260,1.18B,46.21
24,WWE,0.09078395006010942,"World Wrestling Entertainment,",22.17,562726,1.72B,51.14
