,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio,Last Tradetime
0,ARIA,0.1056588159,"ARIAD Pharmaceuticals, Inc.",23.99,9913520,,,2017-02-15 21:00:00 UTC+0000
1,CEB,0.0718889962,CEB Inc. Common Stock,77.40,559252,2.50B,66.62,2017-02-21 21:05:00 UTC+0000
2,DAN,0.0007642748,Dana Incorporated Common Stock,19.33,1521790,2.84B,4.53,2017-02-21 21:03:00 UTC+0000
3,ENH,0.1374854131,Endurance Specialty Holdings Lt,92.88,378716,6.28B,15.46,2017-02-21 21:02:00 UTC+0000
4,EVER,0.030845005499999998,EverBank Financial Corp. Common,19.44,809390,2.47B,18.37,2017-02-21 21:01:00 UTC+0000
5,HAR,0.08437754039999999,Harman International Industries,111.01,1087930,7.77B,21.99,2017-02-21 21:02:00 UTC+0000
6,INSW,0.1898066641,"International Seaways, Inc. Com",18.51,151921,544.36M,7.06,2017-02-21 21:02:00 UTC+0000
7,JOY,0.1333493453,Joy Global Inc. Common Stock,28.09,1014730,2.78B,,2017-02-21 21:02:00 UTC+0000
8,NMFC,0.0051701023,New Mountain Finance Corporatio,14.85,327732,,,2017-02-21 21:02:00 UTC+0000
9,PETS,0.0082595377,"PetMed Express, Inc.",21.19,187724,432.40M,19.95,2017-02-21 21:00:00 UTC+0000
10,PNK,0.036901592000000004,"Pinnacle Entertainment, Inc.",16.41,458365,906.10M,,2017-02-21 21:00:00 UTC+0000
11,SCAI,0.009708988100000001,"Surgical Care Affiliates, Inc.",56.69,548421,2.29B,102.70,2017-02-21 21:00:00 UTC+0000
12,SIFI,0.0288612657,"SI Financial Group, Inc.",15.00,22866,177.29M,15.79,2017-02-21 21:00:00 UTC+0000
13,VASC,0.0850267455,"Vascular Solutions, Inc.",56.00,272766,981.85M,81.40,2017-02-17 21:00:00 UTC+0000
14,WOOF,0.0258137196,VCA Inc.,90.79,1982410,7.43B,35.50,2017-02-21 21:00:00 UTC+0000
15,XXIA,0.0460819941,Ixia,19.50,1255430,1.61B,183.18,2017-02-21 21:00:00 UTC+0000
