,Ticker,Weight,Name,Prev Close,Avg Daily Volume,Market Cap,PE ratio
0,AAWW,0.17439899094825184,Atlas Air Worldwide Holdings,51.85,171962,1.34B,32.22
1,CEC,0.07249710664768286,,,40670,,
2,CPA,0.33565311122770336,"Copa Holdings, S.A. Copa Holdin",108.74,350884,4.64B,13.65
3,ECPG,0.25348011789176444,Encore Capital Group Inc,30.85,341785,801.22M,10.58
4,TFM,0.05116181413455491,"The Fresh Market, Inc.",,1905490,,
5,TK,0.11280885915004261,Teekay Corporation Common Stock,8.82,1282320,783.79M,
