,date,pnl
0,2014-01-03,0.0037703053605958464
1,2014-01-10,0.038001341045410336
2,2014-01-17,-0.05598274185636619
3,2014-01-24,0.03966680276229447
4,2014-01-31,0.030372046117551968
5,2014-02-07,0.06520966606433065
6,2014-02-14,0.053037313652421786
7,2014-02-21,0.05848616934348757
8,2014-02-28,0.08718381011728557
9,2014-03-07,-0.060431163089973775
10,2014-03-14,0.04105152433948791
11,2014-03-21,-0.048909273357554794
12,2014-03-28,-0.0019326599661022978
13,2014-04-04,-0.05368323011992221
14,2014-04-11,0.017098697945638154
15,2014-04-18,0.0059408127692198625
16,2014-04-25,0.07191400302259822
17,2014-05-02,-0.09746313828555891
18,2014-05-09,0.007278513418912306
19,2014-05-16,0.0662217903146933
20,2014-05-23,0.018640402289940707
21,2014-05-30,0.003519561363771467
22,2014-06-06,0.012331413414916736
23,2014-06-13,0.022893029119604207
24,2014-06-20,-0.04343555806306008
25,2014-06-27,-0.009854778801531986
26,2014-07-04,-0.06173582966550516
27,2014-07-11,-0.0054955225988132395
28,2014-07-18,0.007476861268443666
29,2014-07-25,-0.0526673340800736
30,2014-08-01,-0.008414754088510036
31,2014-08-08,0.05537630528596087
32,2014-08-15,-0.008400749501425261
33,2014-08-22,0.017196534702179418
34,2014-08-29,-0.013258855566197117
35,2014-09-05,-0.062150318426376264
36,2014-09-12,-0.015951229659018032
37,2014-09-19,-0.04213478839050892
38,2014-09-26,-0.03263968595497692
39,2014-10-03,-0.049907351134770114
40,2014-10-10,0.0023994403683787434
41,2014-10-17,0.040571695032280294
42,2014-10-24,0.031695171384502556
43,2014-10-31,0.009614964316510434
44,2014-11-07,0.02177701132702994
45,2014-11-14,-0.01605293521783137
46,2014-11-21,0.011994798375653658
47,2014-11-28,-0.001466710324152779
48,2014-12-05,-0.027277220165494914
49,2014-12-12,0.0004844915042505407
50,2014-12-19,-0.0024840898907925093
51,2014-12-26,-0.006997278419956898
52,2015-01-02,0.008548509379194363
53,2015-01-09,-0.004959684485508722
