date,ticker,vol10,momentum,market_cap,beta
1/24/2014,X1255459D,0.818,0.010554442217768955,13128.0429,0.8667
1/24/2014,X1288453D,15.523,-0.030140445005523066,11326.3248,0.8312
1/24/2014,X1431816D,3.435,0.02199023230574438,5994.2964,1.3787
1/24/2014,X1437361D,32.925,0.13150684931506862,1491.3434,1.0219
1/24/2014,X1455797D,26.930999999999997,0.28074023965983774,1498.81,1.2659
1/24/2014,X1477069D,46.419,0.0,2813.4084,1.4674
1/24/2014,X9876543D,22.180999999999997,0.09881796690307329,1255.0194,1.1956
1/24/2014,X9876544D,92.932,-0.09261377497086173,3922.4318,1.1795
1/24/2014,X9876566D,15.681,0.07319584136808054,21633.7337,0.8598
1/24/2014,X9999900D,12.959000000000001,-0.01244620846163264,5040.7013,0.8740000000000001
1/24/2014,AA,55.17,0.2014528435551117,12252.3671,1.1769
1/24/2014,AAN,39.89,-0.007667387741265862,2070.748,0.9562
1/24/2014,AAWW,80.214,-0.15563669557279783,932.4386,1.053
1/24/2014,ABC,18.340999999999998,0.1787807208929119,15573.6033,0.6727
1/24/2014,ABT,19.765,-0.0053253026944442335,56559.4718,0.9913
1/24/2014,ACAD,42.693000000000005,0.12831945124938754,2099.9241,2.191
1/24/2014,ACAT,72.396,-0.042041419257189426,581.8215,1.7819999999999998
1/24/2014,ACGL,13.683,0.04931910195068089,7159.2688,0.6679
1/24/2014,ACM,34.599000000000004,-0.2133447880870562,2898.7493,1.4396
1/24/2014,ACOR,28.639,-0.20570971184631798,1269.1935,0.9305
1/24/2014,ACRX,52.033,-0.33006535947712423,466.5457,1.4852
1/24/2014,ACXM,23.8,0.411007025761124,2463.1857,1.0256
1/24/2014,ADBE,31.254,0.2832455216016859,29344.3576,0.9153
1/24/2014,ADP,20.59,0.0890418315236598,37055.3118,0.9922
1/24/2014,ADTN,53.123000000000005,-0.034211921168023914,1480.3122,1.0742
1/24/2014,AEE,14.122,-0.022602093436615393,8713.0111,0.8383
1/24/2014,AEGR,55.037,-0.28571428571428575,1683.0887,1.0217
1/24/2014,AEIS,58.838,0.009952606635070962,1006.0042,1.115
1/24/2014,AEL,25.098000000000003,0.30297369257234275,1568.8812,1.2613
1/24/2014,AEO,51.285,-0.28704815558822544,2461.9255,1.3122
1/24/2014,AF,18.867,0.061433391201808074,1362.3614,1.1245
1/24/2014,AFL,15.936,0.07146227910154472,29032.7649,1.0447
1/24/2014,AFOP,89.37,-0.12425779636513837,291.3435,1.1069
1/24/2014,AGIO,186.301,-0.3214285714285714,883.3909,1.5633
1/24/2014,AGNC,16.055999999999997,-0.08326326395886174,7411.5157,0.8263
1/24/2014,AGO,29.274,-0.0004233941942666039,3812.2485,1.8206
1/24/2014,AJRD,15.587,-0.034285714285714364,1046.871,1.334
1/24/2014,AL,32.3,0.11156559975457614,3228.6418,1.0164
1/24/2014,ALGN,55.748999999999995,0.24283421233662011,4729.1675,1.6034
1/24/2014,ALJ,25.268,0.126656743922319,1031.6693,1.3569
1/24/2014,ALK,28.908,0.14734281127422585,5538.621,1.0558
1/24/2014,ALKS,32.885999999999996,0.1745465358311031,7048.8268,1.0542
1/24/2014,ALL,14.128,0.022664511279743827,23024.4285,1.0017
1/24/2014,ALNY,201.985,0.2168748720049151,5302.7544,1.6677
1/24/2014,ALSN,37.514,0.1063563139444647,5097.9541,1.1966
1/24/2014,ALTR,24.035,-0.14585817261420797,10314.6487,1.0679
1/24/2014,ALV,27.728,0.08597208478725077,8291.8629,1.3885
1/24/2014,ALXN,45.47,0.054655525238744854,26203.381,1.2863
1/24/2014,AMBA,61.05,0.4811940298507462,840.4546,1.2217
1/24/2014,AMBC,32.52,-0.17746478873239435,1080.5106,1.7721
1/24/2014,AMCC,48.813,-0.043110735418427706,816.1347,0.9027
