date,vol10,momentum,market_cap,beta
2012/01/13,0.0008003355608406301,0.0027692979389638875,3.5946553182388737e-08,0.012954688452481123
2012/01/20,0.0006153283691023385,-0.004456934843034162,6.212146184588742e-08,0.022503945947316757
2012/01/27,-7.465320904391435e-05,-0.03484858043231727,-1.5165797365885299e-07,0.015317104830759595
2012/02/03,0.0005230971721344503,-0.007119669697814665,-5.0681080838841505e-08,0.025041016687918156
2012/02/10,0.0022184945769494363,0.054613181877155734,4.959709780122988e-07,-0.0818576459097523
2012/02/17,-7.771951652504755e-05,0.0037240611662541284,-4.240521766685483e-08,0.008421079296456345
2012/02/24,-1.0429117490038682e-05,0.008493873211715599,6.337843710900033e-08,-0.0070682479613114356
2012/03/02,-0.0002292054458844863,-0.00833386686968559,2.4301789422183565e-07,-0.026335871634893464
2012/03/09,0.0002009167656587377,0.02989499685078572,-1.2049965703378984e-07,-0.008099566231327892
2012/03/16,0.00026124488916381435,-0.0029604177038405235,1.1489717388102482e-07,0.016682768532418252
2012/03/23,0.0011557794277737548,0.0007312994867881376,1.1525779757488097e-07,-0.02317137874261733
2012/03/30,5.349310513662795e-05,0.00818058504885896,6.120662335082906e-08,-0.018660834893537395
2012/04/06,-0.0002689826202531069,0.01163274439569036,2.4941940965544778e-08,-0.02391254337094908
2012/04/13,-6.545380487081851e-05,0.006995436428198592,2.0613173863111832e-08,-0.022113036193855795
2012/04/20,0.0002354346501728945,-0.0002531419700880898,-7.62574207809763e-09,-0.014177342994582988
2012/04/27,0.00026648376883082694,0.0032541551513349397,2.897238929622264e-08,0.017576889915347328
2012/05/04,-7.490209960308366e-05,0.00070569099380654,5.5431204708500604e-08,-0.05794310785780669
2012/05/11,-8.174435296073186e-05,0.0015799161216454706,-9.654771741818851e-08,-0.02890321454752019
2012/05/18,-0.0002592921921616473,0.0013888876052711584,-2.0381143833892e-09,-0.06444540856785244
2012/05/25,0.00018258229745772645,-0.00047862462020394596,6.872173358361951e-08,0.02914129283781825
2012/06/01,0.0003159943746914874,-0.001148303167054979,1.2815583328303197e-08,-0.05094508758487057
2012/06/08,-1.7235769434074154e-05,0.004540712514205234,3.06007085989179e-08,0.0337714373341381
2012/06/15,-0.00023748689964591622,-0.0014759340609327976,2.87853326515826e-08,0.0045716623091421734
2012/06/22,0.00041462960425324083,0.003775728634653027,-4.6779902409801695e-08,-0.01835009063847879
2012/06/29,-0.0002619111118455534,-7.951146241243079e-05,-5.192804544798743e-08,0.029419513290692777
2012/07/06,0.00018294219037457067,0.0031007710934809214,-1.2113995702684903e-07,-0.002195350738513889
2012/07/13,-0.00020630787270210888,0.008018656759505338,-6.572942894644792e-10,-0.02406171953606628
2012/07/20,3.584662203020165e-05,-0.009564729617393785,1.820937467724729e-07,-0.00024394954002647087
2012/07/27,-1.94445236594376e-05,0.006697708592633706,1.4661820045642808e-07,0.014166781173449229
2012/08/03,-0.00010411383963977388,-0.011062962718432243,8.693194242080737e-08,-0.0059415329463407985
2012/08/10,-0.000161819524680184,-0.03433395980491393,-4.089313561561063e-09,0.025891721986090518
2012/08/17,0.0002776294962468905,0.019239395143872663,-2.677869030667549e-08,0.019231016906738008
2012/08/24,0.00037800873641517704,0.0003633537428579232,9.627824550625374e-08,-0.012997008544008242
2012/08/31,6.950932206747419e-05,0.017104561089314355,-4.2104240339476156e-08,-0.006207160577447568
2012/09/07,0.00027986799521734825,0.007547495189251183,1.7368150825859915e-08,0.032421632590045636
2012/09/14,9.196807106244134e-05,-0.030136692234695395,-2.5596237941259045e-08,0.03370178679456624
2012/09/21,0.0005057106235211388,0.013069571262859568,3.7837357328093495e-08,-0.030842420579509856
2012/09/28,-0.00013680529733237572,-0.011772826857152129,-3.084388461632458e-09,-0.030984235661974006
2012/10/05,-1.697749070165231e-05,0.0331837987527672,5.314396277877372e-08,0.0018401461822182255
2012/10/12,-2.9789050310475996e-05,-0.008244201426290306,-2.0037942712515193e-08,-0.02239508645234956
2012/10/19,-7.274710419801706e-05,0.0003603244484479778,9.905830875251531e-08,-0.0004020710041519357
2012/10/26,0.00017799893061250084,-0.015641243209524282,-4.158247752457274e-08,-0.015540793645064648
2012/11/02,-2.1354897132304313e-05,0.002726896465914377,1.6965807703731575e-08,0.007666501601739369
2012/11/09,-0.0001456455966978424,0.011443385644932738,-1.6599701005940646e-08,-0.025095810858674284
2012/11/16,-0.00018500741177202693,0.0007466527237692001,7.345635485650683e-08,-0.0283910564234672
2012/11/23,0.00015306712095554701,0.008561367733414541,4.0079017373042786e-08,0.03707822711857804
2012/11/30,0.00016821290749407622,-0.00019370609523434052,-9.330091635317597e-08,0.010779490075448074
2012/12/07,-2.8783400950870672e-05,-0.0030348094817334178,5.9229326391828314e-08,0.0020349887455938806
2012/12/14,0.00020271630831128766,-0.009729268683111851,-6.103198288915567e-08,0.0037912814261664035
2012/12/21,6.603701171365997e-05,-0.017052380793920262,-7.529210323889251e-08,0.03005004856995478
2012/12/28,0.00016906075260164424,0.007353876078145627,-2.531608541693366e-09,-0.013893481610493716
2013/01/04,0.0004159906398121605,-0.0050099666759836695,-1.297337099567447e-08,0.03849390225607932
2013/01/11,0.00016335904868559269,0.0061360496811897446,3.342546859997775e-08,-0.010057033485414734
2013/01/18,0.00010390307794427394,0.011103154630030452,-2.1445334882177532e-09,-0.0008027437507538009
2013/01/25,0.0001410817351225299,0.0029450977451580466,5.031265155907127e-08,0.016598235344307218
2013/02/01,0.00014043213871783712,0.004544633224386688,-4.9713907858691493e-08,-0.008016168343833938
